pack,drive,task_auroc,metadata_ceiling,indication_auroc,portal_auroc,compositional_auroc,provenance_auroc,residual_biological,confound_fraction
f142_d_parity_headline_scale,E,0.779809657520655,0.9980539338337503,0.8384765082012788,0.7953850430914651,0.6597164303586321,1.0,0.0,1.0
specimen_authority,D,0.6736169029747011,0.9980539338337503,0.8384765082012788,0.7953850430914651,0.6604114539894356,1.0,0.0,1.0
htan_bridge,D,0.5849318876841813,0.9980539338337503,0.8384765082012788,0.7953850430914651,0.6604114539894356,1.0,0.0,1.0
integrated_f207_base_f,E,0.5316909830184167,0.990432910786893,0.8349677110739058,0.7845013154747669,0.5464003826835685,1.0,0.0,1.0
